INFO 2025-05-26 16:02:39,845 basehttp "GET /attendance/history/?date=2025-05-23 HTTP/1.1" 200 18792
INFO 2025-05-26 16:02:49,104 basehttp "GET /attendance/history/teacher/1/?date=2025-05-23 HTTP/1.1" 200 18737
INFO 2025-05-26 16:03:12,809 basehttp "GET /attendance/history/teacher/1/ HTTP/1.1" 200 24291
INFO 2025-05-26 16:03:16,326 basehttp "GET /teacher/dashboard/ HTTP/1.1" 200 29756
INFO 2025-05-26 16:24:17,725 autoreload C:\Users\dokdo\ams_cnn\scheduling\views.py changed, reloading.
INFO 2025-05-26 16:24:25,794 autoreload Watching for file changes with StatReloader
INFO 2025-05-26 16:30:39,555 autoreload C:\Users\dokdo\ams_cnn\scheduling\views.py changed, reloading.
INFO 2025-05-26 16:30:45,044 autoreload Watching for file changes with StatReloader
INFO 2025-05-26 16:32:42,095 autoreload C:\Users\dokdo\ams_cnn\scheduling\views.py changed, reloading.
INFO 2025-05-26 16:32:45,628 autoreload Watching for file changes with StatReloader
INFO 2025-05-26 16:33:10,095 autoreload C:\Users\dokdo\ams_cnn\classroom_scheduling\settings.py changed, reloading.
INFO 2025-05-26 16:33:13,651 autoreload Watching for file changes with StatReloader
INFO 2025-05-26 16:37:03,223 autoreload C:\Users\dokdo\ams_cnn\classroom_scheduling\settings.py changed, reloading.
INFO 2025-05-26 16:37:08,632 autoreload Watching for file changes with StatReloader
INFO 2025-05-26 16:37:37,415 basehttp "GET /teacher/dashboard/ HTTP/1.1" 200 29756
INFO 2025-05-26 16:44:37,590 autoreload C:\Users\dokdo\ams_cnn\classroom_scheduling\settings.py changed, reloading.
INFO 2025-05-26 16:44:44,369 autoreload Watching for file changes with StatReloader
INFO 2025-05-26 16:52:28,903 autoreload C:\Users\dokdo\ams_cnn\classroom_scheduling\settings.py changed, reloading.
INFO 2025-05-26 16:52:38,591 autoreload Watching for file changes with StatReloader
INFO 2025-05-26 16:53:59,831 basehttp "GET /attendance/history/teacher/1/?date=2025-05-23 HTTP/1.1" 200 18737
INFO 2025-05-26 16:54:00,373 basehttp "GET /static/css/bootstrap.min.css HTTP/1.1" 200 194900
INFO 2025-05-26 16:54:00,372 basehttp "GET /static/webs/plugins/datatables-bs4/css/dataTables.bootstrap4.min.css HTTP/1.1" 200 7496
INFO 2025-05-26 16:54:00,380 basehttp "GET /static/webs/plugins/datatables-responsive/css/responsive.bootstrap4.min.css HTTP/1.1" 200 4301
INFO 2025-05-26 16:54:00,412 basehttp "GET /static/js/notifications.js HTTP/1.1" 200 2771
INFO 2025-05-26 16:54:00,464 basehttp "GET /static/webs/plugins/datatables-bs4/js/dataTables.bootstrap4.min.js HTTP/1.1" 200 4520
INFO 2025-05-26 16:54:00,482 basehttp "GET /static/webs/plugins/jquery-ui/jquery-ui.min.js HTTP/1.1" 200 254921
INFO 2025-05-26 16:54:00,503 basehttp "GET /static/webs/plugins/jquery/jquery.min.js HTTP/1.1" 200 89501
INFO 2025-05-26 16:54:00,500 basehttp "GET /static/js/bootstrap.bundle.min.js HTTP/1.1" 200 80420
INFO 2025-05-26 16:54:00,479 basehttp "GET /static/webs/plugins/datatables-buttons/css/buttons.bootstrap4.min.css HTTP/1.1" 200 9000
INFO 2025-05-26 16:54:00,512 basehttp "GET /static/webs/plugins/datatables/jquery.dataTables.min.js HTTP/1.1" 200 87956
INFO 2025-05-26 16:54:00,582 basehttp "GET /static/webs/plugins/datatables-responsive/js/responsive.bootstrap4.min.js HTTP/1.1" 200 3661
INFO 2025-05-26 16:54:00,600 basehttp "GET /static/webs/plugins/datatables-buttons/js/buttons.bootstrap4.min.js HTTP/1.1" 200 1443
INFO 2025-05-26 16:54:00,631 basehttp "GET /static/webs/plugins/jszip/jszip.min.js HTTP/1.1" 200 95778
INFO 2025-05-26 16:54:00,572 basehttp "GET /static/webs/plugins/datatables-responsive/js/dataTables.responsive.min.js HTTP/1.1" 200 16849
INFO 2025-05-26 16:54:00,683 basehttp "GET /static/webs/plugins/datatables-buttons/js/buttons.html5.min.js HTTP/1.1" 200 25103
INFO 2025-05-26 16:54:00,596 basehttp "GET /static/webs/plugins/datatables-buttons/js/dataTables.buttons.min.js HTTP/1.1" 200 25183
INFO 2025-05-26 16:54:00,700 basehttp "GET /static/webs/plugins/datatables-buttons/js/buttons.colVis.min.js HTTP/1.1" 200 3198
INFO 2025-05-26 16:54:00,733 basehttp "GET /static/webs/plugins/datatables-buttons/js/buttons.print.min.js HTTP/1.1" 200 2514
INFO 2025-05-26 16:54:00,962 basehttp "GET /static/webs/plugins/pdfmake/vfs_fonts.js HTTP/1.1" 200 812001
INFO 2025-05-26 16:54:00,967 basehttp "GET /static/webs/plugins/pdfmake/pdfmake.min.js HTTP/1.1" 200 1348857
INFO 2025-05-26 16:54:15,828 basehttp "GET /schedules/ HTTP/1.1" 200 21019
INFO 2025-05-26 16:54:18,048 basehttp "GET /teacher/dashboard/ HTTP/1.1" 200 29756
INFO 2025-05-26 16:54:40,828 basehttp "GET /subjects/2/ HTTP/1.1" 200 18141
INFO 2025-05-26 16:54:47,319 basehttp "GET /schedules/2/edit/ HTTP/1.1" 200 20573
INFO 2025-05-26 16:55:32,260 basehttp "POST /schedules/2/edit/ HTTP/1.1" 302 0
INFO 2025-05-26 16:55:32,344 basehttp "GET /schedules/ HTTP/1.1" 200 22110
INFO 2025-05-26 16:55:34,543 basehttp "GET /teacher/dashboard/ HTTP/1.1" 200 29756
WARNING 2025-05-26 16:55:39,114 deprecation From C:\Users\dokdo\anaconda3\envs\sjitcnn\lib\site-packages\tensorflow\python\util\dispatch.py:1176: calling reduce_max_v1 (from tensorflow.python.ops.math_ops) with keep_dims is deprecated and will be removed in a future version.
Instructions for updating:
keep_dims is deprecated, use keepdims instead
